Institute,Program,Quota,Category,Gender,Opening_Rank,Closing_Rank
Indian Institute of Information Technology Design & Manufacturing Kurnool Andhra Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Gender-Neutral,527,527
Indian Institute of Information Technology Design & Manufacturing Kurnool Andhra Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,4117,4454
Indian Institute of Information Technology Design & Manufacturing Kurnool Andhra Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Female-only (including Supernumerary),4657,4843
Indian Institute of Information Technology Design & Manufacturing Kurnool Andhra Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,7030,9396
Indian Institute of Information Technology Design & Manufacturing Kurnool Andhra Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Female-only (including Supernumerary),8783,12213
Indian Institute of Information Technology Design & Manufacturing Kurnool Andhra Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,2810,4364
Indian Institute of Information Technology Design & Manufacturing Kurnool Andhra Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Female-only (including Supernumerary),4760,5602
Indian Institute of Information Technology Design & Manufacturing Kurnool Andhra Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,1592,1738
Indian Institute of Information Technology Design & Manufacturing Kurnool Andhra Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Female-only (including Supernumerary),2064,2064
Indian Institute of Information Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,6542,17500
Indian Institute of Information Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Female-only (including Supernumerary),1895,22337
Indian Institute of Information Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Gender-Neutral,531,588
Indian Institute of Information Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,2439,2489
Indian Institute of Information Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Female-only (including Supernumerary),4001,4001
Indian Institute of Information Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,4676,6485
Indian Institute of Information Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Female-only (including Supernumerary),8991,11343
Indian Institute of Information Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL (PwD),Gender-Neutral,262,262
Indian Institute of Information Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,1904,3771
Indian Institute of Information Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Female-only (including Supernumerary),2879,4800
Indian Institute of Information Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC (PwD),Gender-Neutral,70,70
Indian Institute of Information Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,937,1726
